timestamp,nudge,attn
1749316074.9676874,False,0.28
1749316074.9996452,False,0.2778
1749316075.0303476,False,0.2756
1749316075.0636542,False,0.2733
1749316075.1407042,False,0.2711
1749316075.1616545,False,0.2689
1749316075.1924732,False,0.2667
1749316075.2242804,False,0.2644
1749316075.257793,False,0.2622
1749316075.290609,False,0.26
1749316075.327094,False,0.2578
1749316075.3599608,False,0.2556
1749316075.393085,False,0.2533
1749316075.4140818,False,0.2511
1749316075.4330835,False,0.2489
1749316075.4650233,False,0.2467
1749316075.5282824,False,0.2444
1749316075.558697,False,0.2422
1749316075.590942,False,0.24
1749316075.6235816,False,0.2378
1749316075.6550174,False,0.2356
1749316075.6921835,False,0.2333
1749316075.725312,False,0.2311
1749316075.7557242,False,0.2289
1749316075.7900186,False,0.2267
1749316075.8219314,False,0.2244
1749316075.8525534,False,0.2222
1749316075.8765523,False,0.22
1749316075.9331956,False,0.2178
1749316075.9636383,False,0.2156
1749316075.9949672,False,0.2133
1749316076.0261693,False,0.2111
1749316076.0577419,False,0.2089
1749316076.0909996,False,0.2067
1749316076.1263776,False,0.2044
1749316076.1543777,False,0.2022
1749316076.186663,False,0.2
1749316076.218074,False,0.1978
1749316076.2489772,False,0.1956
1749316076.2810922,False,0.1933
1749316076.3136137,False,0.1911
1749316076.3696432,False,0.1889
1749316076.3939738,False,0.1867
1749316076.424923,False,0.1844
1749316076.457088,False,0.1822
1749316076.4881802,False,0.18
1749316076.5178115,False,0.1778
1749316076.5511625,False,0.1756
1749316076.5841901,False,0.1733
1749316076.614065,False,0.1711
1749316076.6472285,False,0.1689
1749316076.6793694,False,0.1667
1749316076.7126634,False,0.1644
1749316076.7495499,False,0.1622
1749316076.779868,False,0.16
1749316076.8276165,False,0.1578
1749316076.8600154,False,0.1556
1749316076.8897188,False,0.1533
1749316076.922133,False,0.1511
1749316076.9528735,False,0.1489
1749316076.9841304,False,0.1467
1749316077.0150564,False,0.1444
1749316077.0495865,False,0.1422
1749316077.0799162,False,0.14
1749316077.1095712,False,0.1378
1749316077.1447132,False,0.1356
1749316077.177214,False,0.1333
1749316077.209574,False,0.1311
1749316077.2414443,False,0.1289
1749316077.2880957,False,0.1267
1749316077.3220086,False,0.1244
1749316077.354644,False,0.1222
1749316077.3851328,False,0.12
1749316077.4195166,False,0.1178
1749316077.450772,False,0.1156
1749316077.4801333,False,0.1133
1749316077.5127428,False,0.1111
1749316077.5427413,False,0.1089
1749316077.5743065,False,0.1067
1749316077.6069129,False,0.1044
1749316077.6393237,False,0.1022
1749316077.6733246,False,0.1
1749316077.704118,False,0.0978
1749316077.7523353,False,0.0956
1749316077.785322,False,0.0933
1749316077.8198988,False,0.0911
1749316077.8514738,False,0.0889
1749316077.884641,False,0.0867
1749316077.9156754,False,0.0844
1749316077.9460802,False,0.0822
1749316077.976973,False,0.0822
1749316078.0108695,False,0.0822
1749316078.0407522,False,0.0822
1749316078.075237,False,0.0822
1749316078.1045825,False,0.0822
1749316078.1341171,False,0.0822
1749316078.1661816,False,0.0822
1749316078.2236245,False,0.0822
1749316078.2563975,False,0.0822
1749316078.2877467,False,0.0822
1749316078.3189373,False,0.0822
1749316078.3486085,False,0.0822
1749316078.3801806,False,0.0822
1749316078.4099846,False,0.0822
1749316078.4427078,False,0.0822
1749316078.4740996,False,0.0822
1749316078.5071268,False,0.0822
1749316078.5393407,False,0.0822
1749316078.5690985,False,0.0822
1749316078.6043725,False,0.0822
1749316078.6327426,False,0.0822
1749316078.6816084,False,0.0822
1749316078.7121305,False,0.0822
1749316078.7439182,False,0.0822
1749316078.7764864,False,0.0822
1749316078.8090217,False,0.0822
1749316078.838652,False,0.0822
1749316078.8723013,False,0.0822
1749316078.9038389,False,0.0822
1749316078.9366374,False,0.0822
1749316078.968954,False,0.0822
1749316079.00084,False,0.0822
1749316079.0327718,False,0.0822
1749316079.0632322,False,0.0822
1749316079.163214,False,0.0822
1749316079.1834846,False,0.0822
1749316079.2034466,False,0.0822
1749316079.2194817,False,0.0844
1749316079.237482,False,0.0867
1749316079.2717953,False,0.0889
1749316079.3030794,False,0.0911
1749316079.334126,False,0.0933
1749316079.3695443,False,0.0956
1749316079.400512,False,0.0978
1749316079.4326522,False,0.1
1749316079.4701698,False,0.1022
1749316079.537891,False,0.1044
1749316079.5627627,False,0.1067
1749316079.5942607,False,0.1089
1749316079.6122985,False,0.1111
1749316079.6411843,False,0.1133
1749316079.6732244,False,0.1156
1749316079.7053213,False,0.1178
1749316079.736134,False,0.12
1749316079.7666614,False,0.1222
1749316079.7996805,False,0.1244
1749316079.8327878,False,0.1267
1749316079.8652852,False,0.1289
1749316079.9292493,False,0.1311
1749316079.9592452,False,0.1333
1749316079.9924219,False,0.1356
1749316080.0247693,False,0.1378
1749316080.0569685,False,0.14
1749316080.077,False,0.1422
1749316080.1045463,False,0.1444
1749316080.1353316,False,0.1467
1749316080.1669312,False,0.1489
1749316080.2034338,False,0.1511
1749316080.2326705,False,0.1533
1749316080.2625434,False,0.1556
1749316080.3314655,False,0.1578
1749316080.3627787,False,0.16
1749316080.3927593,False,0.1622
1749316080.4247785,False,0.1644
1749316080.4560316,False,0.1667
1749316080.4881485,False,0.1689
1749316080.5203948,False,0.1711
1749316080.5404336,False,0.1733
1749316080.5674462,False,0.1756
1749316080.6008012,False,0.1778
1749316080.631457,False,0.18
1749316080.66363,False,0.1822
1749316080.735327,False,0.1844
1749316080.759582,False,0.1867
1749316080.790943,False,0.1889
1749316080.8212252,False,0.1911
1749316080.8546188,False,0.1933
1749316080.887947,False,0.1956
1749316080.921791,False,0.1978
1749316080.9544938,False,0.2
1749316080.9834573,False,0.2022
1749316081.0034575,False,0.2044
1749316081.03178,False,0.2067
1749316081.0683548,False,0.2089
1749316081.1360643,False,0.2111
1749316081.1593525,False,0.2133
1749316081.1917036,False,0.2156
1749316081.2231395,False,0.2178
1749316081.256706,False,0.22
1749316081.290154,False,0.2222
1749316081.320932,False,0.2244
1749316081.3536983,False,0.2267
1749316081.3866577,False,0.2289
1749316081.4173265,False,0.2311
1749316081.4490857,False,0.2333
1749316081.470123,False,0.2356
1749316081.534592,False,0.2378
1749316081.5600822,False,0.24
1749316081.591081,False,0.2422
1749316081.6241264,False,0.2444
1749316081.6608047,False,0.2467
1749316081.6956995,False,0.2489
1749316081.7259078,False,0.2511
1749316081.757041,False,0.2533
1749316081.7860844,False,0.2556
1749316081.8162522,False,0.2578
1749316081.8466923,False,0.26
1749316081.8799627,False,0.2622
1749316081.9111233,False,0.2644
1749316081.9614775,False,0.2667
1749316081.9931624,False,0.2689
1749316082.0230198,False,0.2711
1749316082.0565846,False,0.2733
1749316082.08945,False,0.2756
1749316082.1210303,False,0.2778
1749316082.153362,False,0.28
1749316082.1828358,False,0.2822
1749316082.2163036,False,0.2844
1749316082.2467477,False,0.2867
1749316082.2791042,False,0.2889
1749316082.31174,False,0.2911
1749316082.3422408,False,0.2933
1749316082.3748221,False,0.2956
1749316082.4271588,False,0.2978
1749316082.4596856,False,0.3
1749316082.490666,False,0.3022
1749316082.52096,False,0.3044
1749316082.5536284,False,0.3067
1749316082.5859156,False,0.3089
1749316082.6170628,False,0.3089
1749316082.6508427,False,0.3089
1749316082.679391,False,0.3089
1749316082.713029,False,0.3111
1749316082.7431805,False,0.3133
1749316082.77885,False,0.3156
1749316082.8098893,False,0.3178
1749316082.842697,False,0.32
1749316082.8874357,False,0.3222
1749316082.9189472,False,0.3244
1749316082.9516973,False,0.3267
1749316082.984249,False,0.3289
1749316083.0150409,False,0.3311
1749316083.0470734,False,0.3333
1749316083.0794373,False,0.3356
1749316083.11333,False,0.3378
1749316083.1445603,False,0.34
1749316083.17618,False,0.3422
1749316083.2078576,False,0.3444
1749316083.2402081,False,0.3467
1749316083.272933,False,0.3489
1749316083.3068624,False,0.3511
1749316083.3540661,False,0.3533
1749316083.3854613,False,0.3556
1749316083.4167652,False,0.3578
1749316083.4495928,False,0.36
1749316083.4822776,False,0.3622
1749316083.5143297,False,0.3644
1749316083.5455673,False,0.3667
1749316083.5781567,False,0.3689
1749316083.6094239,False,0.3711
1749316083.6423051,False,0.3733
1749316083.6741805,False,0.3756
1749316083.7074616,False,0.3778
1749316083.7410076,False,0.38
1749316083.7729278,False,0.3822
1749316083.8232014,False,0.3844
1749316083.8551335,False,0.3867
1749316083.889083,False,0.3889
1749316083.9150867,False,0.3911
1749316083.9439278,False,0.3933
1749316083.9745588,False,0.3956
1749316084.006839,False,0.3978
1749316084.0419376,False,0.4
1749316084.076753,False,0.4022
1749316084.1071246,False,0.4044
1749316084.140431,False,0.4067
1749316084.172494,False,0.4089
1749316084.2044637,False,0.4111
1749316084.2350252,False,0.4133
1749316084.2816813,False,0.4156
1749316084.312182,False,0.4178
1749316084.3461812,False,0.42
1749316084.3756733,False,0.4222
1749316084.4075117,False,0.4244
1749316084.439427,False,0.4267
1749316084.4704266,False,0.4289
1749316084.503406,False,0.4289
1749316084.537435,False,0.4289
1749316084.567398,False,0.4289
1749316084.6002147,False,0.4289
1749316084.6321862,False,0.4289
1749316084.6691875,False,0.4311
1749316084.6961868,False,0.4333
1749316084.7461874,False,0.4356
1749316084.7791882,False,0.4378
1749316084.8082209,False,0.44
1749316084.8392217,False,0.4422
1749316084.8711886,False,0.4444
1749316084.9039447,False,0.4467
1749316084.9342117,False,0.4489
1749316084.9720407,False,0.4511
1749316085.0022805,False,0.4533
1749316085.0339944,False,0.4556
1749316085.0632174,False,0.4578
1749316085.1338558,False,0.46
1749316085.1591408,False,0.4622
1749316085.1781409,False,0.4644
1749316085.2080598,False,0.4667
1749316085.2393079,False,0.4689
1749316085.2751472,False,0.4711
1749316085.3061254,False,0.4733
1749316085.3400216,False,0.4756
1749316085.371997,False,0.4778
1749316085.4042008,False,0.48
1749316085.4354193,False,0.4822
1749316085.46669,False,0.4844
1749316085.5315905,False,0.4867
1749316085.5588772,False,0.4889
1749316085.5903552,False,0.4911
1749316085.6230652,False,0.4933
1749316085.643065,False,0.4956
1749316085.6731398,False,0.4978
1749316085.7056766,False,0.5
1749316085.7381403,False,0.5022
1749316085.771139,False,0.5044
1749316085.803238,False,0.5067
1749316085.833904,False,0.5089
1749316085.8676138,False,0.5111
1749316085.9352243,False,0.5133
1749316085.96402,False,0.5156
1749316085.9911923,False,0.5178
1749316086.0235052,False,0.52
1749316086.0560732,False,0.5222
1749316086.0863423,False,0.5244
1749316086.1369245,False,0.5267
1749316086.1552095,False,0.5289
1749316086.1742167,False,0.5311
1749316086.201213,False,0.5333
1749316086.2315724,False,0.5356
1749316086.2638445,False,0.5378
1749316086.3358788,False,0.54
1749316086.3592057,False,0.5422
1749316086.3918772,False,0.5444
1749316086.4237845,False,0.5467
1749316086.4560513,False,0.5489
1749316086.4896672,False,0.5511
1749316086.5210702,False,0.5533
1749316086.5532832,False,0.5556
1749316086.601284,False,0.5578
1749316086.6221845,False,0.56
1749316086.6409328,False,0.5622
1749316086.6629336,False,0.5644
1749316086.7291222,False,0.5667
1749316086.7614024,False,0.5689
1749316086.7922127,False,0.5711
1749316086.8272538,False,0.5733
1749316086.8596601,False,0.5756
1749316086.892107,False,0.5778
1749316086.9244351,False,0.58
1749316086.9546702,False,0.5822
1749316086.9871278,False,0.5844
1749316087.0204554,False,0.5867
1749316087.073085,False,0.5889
1749316087.101042,False,0.5911
1749316087.1292148,False,0.5933
1749316087.1596432,False,0.5956
1749316087.1922884,False,0.5978
1749316087.2231166,False,0.6
1749316087.2576156,False,0.6022
1749316087.2908225,False,0.6044
1749316087.3230891,False,0.6067
1749316087.3558877,False,0.6089
1749316087.386068,False,0.6111
1749316087.4208646,False,0.6133
1749316087.4532654,False,0.6156
1749316087.4809146,False,0.6178
1749316087.5371714,False,0.62
1749316087.5642037,False,0.6222
1749316087.5921056,False,0.6244
1749316087.6227167,False,0.6267
1749316087.657634,False,0.6289
1749316087.6873233,False,0.6311
1749316087.720906,False,0.6333
1749316087.7507956,False,0.6356
1749316087.783791,False,0.6378
1749316087.8143008,False,0.64
1749316087.8518372,False,0.6422
1749316087.8865151,False,0.6444
1749316087.9192154,False,0.6467
1749316087.9486966,False,0.6489
1749316087.9789386,False,0.6511
1749316088.0251608,False,0.6533
1749316088.054834,False,0.6556
1749316088.0869427,False,0.6578
1749316088.1206455,False,0.66
1749316088.1542912,False,0.6622
1749316088.185205,False,0.6644
1749316088.2160947,False,0.6667
1749316088.2464325,False,0.6689
1749316088.2804124,False,0.6711
1749316088.3121557,False,0.6733
1749316088.3444774,False,0.6756
1749316088.377934,False,0.6778
1749316088.4117298,False,0.68
1749316088.443799,False,0.6822
1749316088.500384,False,0.6844
1749316088.5206091,False,0.6844
1749316088.5514836,False,0.6844
1749316088.5841594,False,0.6844
1749316088.6178832,False,0.6867
1749316088.6506908,False,0.6889
1749316088.6800833,False,0.6911
1749316088.7119536,False,0.6933
1749316088.7437377,False,0.6956
1749316088.7773852,False,0.6978
1749316088.8093863,False,0.7
1749316088.8386633,False,0.7022
1749316088.871343,False,0.7044
1749316088.9033697,False,0.7067
1749316088.954448,False,0.7089
1749316088.9868886,False,0.7111
1749316089.019353,False,0.7133
1749316089.049922,False,0.7156
1749316089.0838754,False,0.7178
1749316089.1157017,False,0.72
1749316089.1483505,False,0.7222
1749316089.1795142,False,0.7244
1749316089.2104552,False,0.7267
1749316089.2409022,False,0.7289
1749316089.2722955,False,0.7311
1749316089.303229,False,0.7333
1749316089.3373055,False,0.7356
1749316089.3696978,False,0.7378
1749316089.4259717,False,0.74
1749316089.4491146,False,0.7422
1749316089.4784184,False,0.7444
1749316089.5147643,False,0.7467
1749316089.5475574,False,0.7489
1749316089.5828488,False,0.7511
1749316089.6133094,False,0.7533
1749316089.6479301,False,0.7556
1749316089.678004,False,0.7578
1749316089.7096665,False,0.76
1749316089.741352,False,0.7622
1749316089.7688978,False,0.7644
1749316089.7989306,False,0.7667
1749316089.8307729,False,0.7689
1749316089.8862712,False,0.7711
1749316089.9178693,False,0.7733
1749316089.9434502,False,0.7756
1749316089.9763312,False,0.7778
1749316090.0077462,False,0.78
1749316090.039506,False,0.7822
1749316090.072148,False,0.7844
1749316090.104137,False,0.7867
1749316090.1374314,False,0.7889
1749316090.170445,False,0.7911
1749316090.199323,False,0.7933
1749316090.2308252,False,0.7956
1749316090.2631564,False,0.7978
1749316090.2943327,False,0.8
1749316090.3429003,False,0.8022
1749316090.3745925,False,0.8044
1749316090.4080226,False,0.8067
1749316090.4416542,False,0.8089
1749316090.475225,False,0.8111
1749316090.5063426,False,0.8133
1749316090.538254,False,0.8156
1749316090.5747228,False,0.8178
1749316090.6064074,False,0.82
1749316090.6368737,False,0.8222
1749316090.6700053,False,0.8244
1749316090.746395,False,0.8267
1749316090.7649786,False,0.8289
1749316090.7849464,False,0.8311
1749316090.8091989,False,0.8333
1749316090.840588,False,0.8333
1749316090.873174,False,0.8333
1749316090.9037213,False,0.8333
1749316090.9358273,False,0.8333
1749316090.9672363,False,0.8333
1749316091.0004742,False,0.8333
1749316091.0313208,False,0.8333
1749316091.0638704,False,0.8333
1749316091.1275582,False,0.8333
1749316091.1611578,False,0.8333
1749316091.1958084,False,0.8333
1749316091.2270973,False,0.8333
1749316091.2474246,False,0.8333
1749316091.274101,False,0.8333
1749316091.3061628,False,0.8333
1749316091.3361573,False,0.8333
1749316091.368479,False,0.8333
1749316091.3991482,False,0.8333
1749316091.431137,False,0.8333
1749316091.4639463,False,0.8333
1749316091.5445597,False,0.8333
1749316091.5625563,False,0.8333
1749316091.5926442,False,0.8333
1749316091.6238668,False,0.8333
1749316091.6572323,False,0.8333
1749316091.689013,False,0.8333
1749316091.7090123,False,0.8333
1749316091.7371778,False,0.8333
1749316091.7694857,False,0.8333
1749316091.8011525,False,0.8333
1749316091.835076,False,0.8333
1749316091.8670611,False,0.8333
1749316091.9279366,False,0.8333
1749316091.958508,False,0.8333
1749316091.9922159,False,0.8333
1749316092.0239897,False,0.8356
1749316092.0543344,False,0.8378
1749316092.0885835,False,0.84
1749316092.1220284,False,0.8422
1749316092.156196,False,0.8444
1749316092.1781595,False,0.8467
1749316092.2029486,False,0.8489
1749316092.2370646,False,0.8511
1749316092.2672248,False,0.8533
1749316092.3377142,False,0.8556
1749316092.365108,False,0.8578
1749316092.3920662,False,0.86
1749316092.4241157,False,0.8622
1749316092.4548461,False,0.8644
1749316092.4887452,False,0.8667
1749316092.5198257,False,0.8689
1749316092.5508459,False,0.8711
1749316092.583874,False,0.8733
1749316092.6180983,False,0.8756
1749316092.638598,False,0.8778
1749316092.667893,False,0.8778
1749316092.7323895,False,0.8778
1749316092.767182,False,0.8778
1749316092.8028464,False,0.88
1749316092.8238795,False,0.8822
1749316092.8563452,False,0.8844
1749316092.8873684,False,0.8867
1749316092.9210677,False,0.8889
1749316092.9532142,False,0.8911
1749316092.9824243,False,0.8911
1749316093.0157204,False,0.8911
1749316093.0490296,False,0.8911
1749316093.082819,False,0.8911
1749316093.133649,False,0.8911
1749316093.1655602,False,0.8911
1749316093.1990647,False,0.8911
1749316093.2257028,False,0.8911
1749316093.256402,False,0.8911
1749316093.2875962,False,0.8911
1749316093.319779,False,0.8911
1749316093.3513234,False,0.8911
1749316093.3828895,False,0.8911
1749316093.4191062,False,0.8911
1749316093.449887,False,0.8911
1749316093.4832006,False,0.8911
1749316093.514122,False,0.8911
1749316093.543467,False,0.8911
1749316093.59351,False,0.8911
1749316093.6278071,False,0.8911
1749316093.6580186,False,0.8911
1749316093.6901305,False,0.8911
1749316093.7198012,False,0.8911
1749316093.7523198,False,0.8911
1749316093.784428,False,0.8911
1749316093.816782,False,0.8911
1749316093.8488257,False,0.8911
1749316093.8821964,False,0.8911
1749316093.912758,False,0.8911
1749316093.9495955,False,0.8911
1749316093.9808912,False,0.8911
1749316094.0098,False,0.8911
1749316094.0561013,False,0.8911
1749316094.0864513,False,0.8911
1749316094.1206775,False,0.8911
1749316094.1532888,False,0.8911
1749316094.1839714,False,0.8911
1749316094.2172885,False,0.8911
1749316094.2487018,False,0.8911
1749316094.2819643,False,0.8911
1749316094.3134134,False,0.8911
1749316094.3435369,False,0.8911
1749316094.375779,False,0.8911
1749316094.4102845,False,0.8911
1749316094.4416442,False,0.8911
1749316094.4762092,False,0.8911
1749316094.5301616,False,0.8911
1749316094.554782,False,0.8911
1749316094.5829802,False,0.8911
1749316094.6151626,False,0.8911
1749316094.6476038,False,0.8911
1749316094.6805766,False,0.8911
1749316094.714079,False,0.8911
1749316094.7482362,False,0.8911
1749316094.776545,False,0.8911
1749316094.8062515,False,0.8911
1749316094.8395424,False,0.8911
1749316094.87122,False,0.8911
1749316094.9058466,False,0.8911
1749316094.9397156,False,0.8911
1749316094.9900138,False,0.8911
1749316095.0218577,False,0.8911
1749316095.051622,False,0.8911
1749316095.0816576,False,0.8911
1749316095.110948,False,0.8911
1749316095.1443338,False,0.8911
1749316095.174621,False,0.8911
1749316095.2079635,False,0.8911
1749316095.239446,False,0.8911
1749316095.2733378,False,0.8911
1749316095.3038285,False,0.8911
1749316095.3353434,False,0.8911
1749316095.3683925,False,0.8911
1749316095.4016047,False,0.8911
1749316095.4322257,False,0.8911
1749316095.4795208,False,0.8911
1749316095.5131488,False,0.8911
1749316095.5414486,False,0.8911
1749316095.5760922,False,0.8911
1749316095.6083982,False,0.8911
1749316095.6391819,False,0.8911
1749316095.6715734,False,0.8911
1749316095.7042842,False,0.8911
1749316095.7363944,False,0.8911
1749316095.7686744,False,0.8911
1749316095.8020253,False,0.8911
1749316095.8330555,False,0.8911
1749316095.866425,False,0.8911
1749316095.898003,False,0.8911
1749316095.9517987,False,0.8911
1749316095.9812167,False,0.8911
1749316096.0092416,False,0.8911
1749316096.0396218,False,0.8911
1749316096.0714648,False,0.8911
1749316096.1040034,False,0.8911
1749316096.1371899,False,0.8911
1749316096.1673963,False,0.8911
1749316096.199937,False,0.8911
1749316096.23027,False,0.8911
1749316096.2665818,False,0.8911
1749316096.3344502,False,0.8911
1749316096.3597848,False,0.8911
1749316096.3770254,False,0.8911
1749316096.407931,False,0.8911
1749316096.438378,False,0.8911
1749316096.4758513,False,0.8911
1749316096.509148,False,0.8911
1749316096.539128,False,0.8911
1749316096.5681698,False,0.8911
1749316096.600206,False,0.8911
1749316096.6321688,False,0.8911
1749316096.6635656,False,0.8911
1749316096.728868,False,0.8911
1749316096.7590322,False,0.8911
1749316096.7933595,False,0.8911
1749316096.8241484,False,0.8911
1749316096.8441474,False,0.8911
1749316096.8712306,False,0.8911
1749316096.904106,False,0.8911
1749316096.936533,False,0.8911
1749316096.967808,False,0.8911
1749316096.9989812,False,0.8911
1749316097.0312338,False,0.8911
1749316097.0661607,False,0.8911
1749316097.1337779,False,0.8911
1749316097.1609821,False,0.8911
1749316097.1912663,False,0.8911
1749316097.2227988,False,0.8911
1749316097.2556722,False,0.8911
1749316097.2884357,False,0.8911
1749316097.3067634,False,0.8911
1749316097.3348117,False,0.8911
1749316097.3676803,False,0.8911
1749316097.400741,False,0.8911
1749316097.4300642,False,0.8911
1749316097.466545,False,0.8911
1749316097.5434496,False,0.8911
1749316097.5694478,False,0.8911
1749316097.5972192,False,0.8911
1749316097.628462,False,0.8933
1749316097.658012,False,0.8956
1749316097.6894825,False,0.8978
1749316097.720482,False,0.8978
1749316097.7522914,False,0.8978
1749316097.7705646,False,0.8978
1749316097.7987437,False,0.8978
1749316097.832266,False,0.8978
1749316097.8638523,False,0.8978
1749316097.9380748,False,0.8978
1749316097.961048,False,0.8978
1749316097.9928901,False,0.8978
1749316098.0245192,False,0.8978
1749316098.057678,False,0.8978
1749316098.090133,False,0.8956
1749316098.1230552,False,0.8933
1749316098.1539178,False,0.8911
1749316098.1876292,False,0.8889
1749316098.2185237,False,0.8867
1749316098.2388346,False,0.8844
1749316098.2648823,False,0.8822
1749316098.3272774,False,0.88
1749316098.3597248,False,0.8778
1749316098.392174,False,0.8756
1749316098.4277031,False,0.8733
1749316098.4610317,False,0.8711
1749316098.4925637,False,0.8689
1749316098.5249238,False,0.8667
1749316098.558464,False,0.8644
1749316098.5900383,False,0.8622
1749316098.6218083,False,0.86
1749316098.6538818,False,0.8578
1749316098.6848361,False,0.8556
1749316098.728232,False,0.8533
1749316098.759017,False,0.8511
1749316098.7916024,False,0.8489
1749316098.8239064,False,0.8467
1749316098.855066,False,0.8444
1749316098.889702,False,0.8422
1749316098.9227989,False,0.84
1749316098.956028,False,0.8378
1749316098.9874182,False,0.8356
1749316099.016078,False,0.8333
1749316099.048787,False,0.8311
1749316099.078493,False,0.8289
1749316099.1135423,False,0.8267
1749316099.1429758,False,0.8244
1749316099.193114,False,0.8222
1749316099.2246757,False,0.82
1749316099.2585497,False,0.8178
1749316099.2917588,False,0.8156
1749316099.322883,False,0.8133
1749316099.3568895,False,0.8111
1749316099.386263,False,0.8089
1749316099.4190476,False,0.8067
1749316099.4509828,False,0.8044
1749316099.486426,False,0.8022
1749316099.519449,False,0.8022
1749316099.551112,False,0.8022
1749316099.58413,False,0.8022
1749316099.6156583,False,0.8022
1749316099.6606615,False,0.8022
1749316099.6925836,False,0.8
1749316099.7252176,False,0.7978
1749316099.7539158,False,0.7956
1749316099.786531,False,0.7933
1749316099.8181596,False,0.7911
1749316099.8484445,False,0.7889
1749316099.8799417,False,0.7867
1749316099.9130363,False,0.7844
