,time,attention_levels,is_looking_at_screen_scores,is_blinking_scores,is_reading_scores,attention_scores
0,1750258979.5656443,1,1,False,0,1.0
1,1750258979.6098216,1,1,False,0,1.0
2,1750258979.627806,1,1,False,0,1.0
3,1750258979.647808,1,1,False,0,1.0
4,1750258979.6673374,1,1,False,0,1.0
5,1750258979.7053523,1,1,False,0,1.0
6,1750258979.7353578,1,1,False,0,1.0
7,1750258979.7639925,1,1,False,0,1.0
8,1750258979.8000507,1,1,False,0,1.0
9,1750258979.827329,1,1,False,0,1.0
10,1750258979.8593316,1,1,False,0,1.0
11,1750258979.8918815,1,1,False,0,1.0
12,1750258979.9259279,1,1,False,0,1.0
13,1750258979.9585397,1,1,False,0,1.0
14,1750258979.987554,1,1,False,0,1.0
15,1750258980.0223286,1,1,False,0,1.0
16,1750258980.053364,1,1,False,0,1.0
17,1750258980.0853748,1,1,False,0,1.0
18,1750258980.1170776,1,1,False,0,1.0
19,1750258980.1670895,1,1,False,0,1.0
20,1750258980.195649,1,1,False,0,1.0
21,1750258980.2276857,1,1,False,0,1.0
22,1750258980.2572749,1,1,False,0,1.0
23,1750258980.2968147,1,1,False,0,1.0
24,1750258980.3262937,1,1,False,0,1.0
25,1750258980.3615181,1,1,False,0,1.0
26,1750258980.4005435,1,1,False,0,1.0
27,1750258980.428052,1,1,False,0,1.0
28,1750258980.4755683,1,1,False,0,1.0
29,1750258980.507568,1,1,False,0,1.0
30,1750258980.536083,1,1,False,0,1.0
31,1750258980.5701246,1,1,False,0,1.0
32,1750258980.6066544,1,1,False,0,1.0
33,1750258980.6356406,1,1,False,0,1.0
34,1750258980.670642,1,1,False,0,1.0
35,1750258980.7116408,1,1,False,0,1.0
36,1750258980.731641,1,1,False,0,1.0
37,1750258980.7736394,1,1,False,0,1.0
38,1750258980.807987,1,1,False,0,1.0
39,1750258980.8519478,1,1,False,0,1.0
40,1750258980.8769715,1,1,False,0,1.0
41,1750258980.9111848,1,1,False,0,1.0
42,1750258980.9321432,1,1,False,0,1.0
43,1750258980.9511442,1,1,False,0,1.0
44,1750258980.9977317,1,1,False,0,1.0
45,1750258981.020268,1,1,False,0,1.0
46,1750258981.0548856,1,1,False,0,1.0
47,1750258981.087257,1,1,False,0,1.0
48,1750258981.121745,1,1,False,0,1.0
49,1750258981.162385,1,1,False,0,1.0
50,1750258981.1903808,1,1,False,0,1.0
51,1750258981.2195277,1,1,False,0,1.0
52,1750258981.2705991,1,1,False,0,1.0
53,1750258981.2916026,1,1,False,0,1.0
54,1750258981.3198256,1,1,False,0,1.0
55,1750258981.351823,1,1,False,0,1.0
56,1750258981.3853993,1,1,False,0,1.0
57,1750258981.4145253,1,1,False,0,1.0
58,1750258981.4765685,1,1,False,0,1.0
59,1750258981.495751,1,1,True,0,1.0
